ID,Username,CreateDate,Biased,Keyword,Text,Predicted
1106562886778998785,Ex__Scorpion,2019-03-15 14:28:45+00:00,1,Jews,I am a Muslim. \nISIS kill me in Syria and Iraq.\nJews kill me in Palestine.\nHindus kill me in Kashmir.\nBhuddists kill me in Burma.\nChristians kill me in Afghanistan and Africa.\nAn Australian kill 50 muslims in New Zealand. \nBut still i am the TERRORIST. #NewZealandMosqueAttacks,1
1208477713570381824,plivecalmest,2019-12-21 20:01:54+00:00,1,Kikes,"?? Nowadays, #randum The influence of kikes arguably will be (((THEM))) rawr Won't hear this on mainstream media! :( ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??",1
1206117915952631808,plivecalmest,2019-12-15 07:44:54+00:00,1,Kikes,"?? Without a doubt, #MAGA The only thing preventing kikes conceivably is the fault of the alt-right xD Fad ? ?? ? ?? ? ?? ?? ? ? ?? ? ?? ??",1
1231328324540149761,Chris160945,2020-02-22 21:22:04+00:00,1,Israel,Israel is currently a failing state. Racist and barbaric. https://t.co/BCgWTlDSyi,1
1176532255616970757,skyguyviki,2019-09-24 16:22:03+00:00,1,ZioNazi,"�We Will Soon Pray There�: Israeli Minister Urges Jewish Settlers to Enter Al-Aqsa""- Israeli minister Gilad Erdan\n\nZioNazisrael ?????? https://t.co/tExKAgiqjQ",1
1425784447169753092,sfnub40,2021-08-12 11:41:16+00:00,1,Israel,RT @liam_jones91: A reminder that Israel is a criminal entity   #FreePalestine https://t.co/HD401wjtRD,1
1204249352681787392,plive_calmer,2019-12-10 03:59:54+00:00,1,Kikes,?? RT This: #Syria The media's love affair with kikes feasibly is evidence of cucks rawr xd Rad ? ?? 5? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??,1
1178835144506933248,hartman_eng,2019-10-01 00:52:54+00:00,1,Kikes,"I do not look down on niggers, kikes, wops or greasers.\nHere you are all equally worthless!\n?????????????????????????????????",1
1159019297433423872,Johntitor2121,2019-08-07 08:31:48+00:00,1,Kikes,Israeli Kikes Claim to Have Sullied the Moon with Disgusting Bacterial Creatures � Daily Stormer https://t.co/xt3S1qmQEO,1
1202521215132487681,plive_calmer,2019-12-05 09:32:54+00:00,1,Kikes,"?? Nowadays, #MAGA The only thing preventing kikes heading up in the world could have been due to the lack of Jobs and Growth ? #alternativefacts :) ??",1
1518059417039958017,musssss_____,2022-04-24 02:49:03+00:00,1,Israel,The Truth Israel Doesn't Want You to Hear https://t.co/X6w3enqbQB,1
1239547900012589056,zariths__,2020-03-16 13:43:43+00:00,1,Israel,"RT @qiss0rkid: go to israel pls , we don't need you",1
1084312315019767815,hartman_eng,2019-01-13 04:52:56+00:00,1,Kikes,"I do not look down on niggers, kikes, wops or greasers.\nHere you are all equally worthless!\n?????????????????????????????????",1
1273003969716117504,dee_clh,2020-06-16 21:26:12+00:00,1,Jews,RT @mehrettt: This is a perfect example of how Jews across NYC are allowed to do as they please.,1
